#,Keyword,Project,Township,Location,BHK,Intent,Funnel,SEO_PPC,Priority,Status
1,"VTP Realty Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
2,"VTP Realty Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
3,"VTP Realty Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
4,"VTP Realty Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
5,"VTP Realty Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
6,"VTP Realty Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
7,"VTP Realty Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
8,"VTP Realty Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
9,"VTP Realty Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
10,"VTP Realty Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
11,"VTP Realty Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
12,"VTP Realty Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
13,"VTP Realty Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
14,"VTP Realty Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
15,"VTP Realty Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
16,"VTP Realty Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
17,"VTP Realty Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
18,"VTP Realty Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
19,"VTP Realty Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
20,"VTP Realty Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
21,"VTP Realty Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
22,"VTP Realty Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
23,"VTP Realty Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
24,"VTP Realty projects Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
25,"VTP Realty projects Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
26,"VTP Realty projects Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
27,"VTP Realty projects Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
28,"VTP Realty projects Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
29,"VTP Realty projects Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
30,"VTP Realty projects Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
31,"VTP Realty projects Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
32,"VTP Realty projects Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
33,"VTP Realty projects Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
34,"VTP Realty projects Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
35,"VTP Realty projects Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
36,"VTP Realty projects Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
37,"VTP Realty projects Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
38,"VTP Realty projects Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
39,"VTP Realty projects Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
40,"VTP Realty projects Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
41,"VTP Realty projects Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
42,"VTP Realty projects Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
43,"VTP Realty projects Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
44,"VTP Realty projects Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
45,"VTP Realty projects Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
46,"VTP Realty projects Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
47,"VTP Realty properties Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
48,"VTP Realty properties Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
49,"VTP Realty properties Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
50,"VTP Realty properties Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
51,"VTP Realty properties Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
52,"VTP Realty properties Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
53,"VTP Realty properties Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
54,"VTP Realty properties Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
55,"VTP Realty properties Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
56,"VTP Realty properties Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
57,"VTP Realty properties Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
58,"VTP Realty properties Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
59,"VTP Realty properties Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
60,"VTP Realty properties Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
61,"VTP Realty properties Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
62,"VTP Realty properties Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
63,"VTP Realty properties Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
64,"VTP Realty properties Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
65,"VTP Realty properties Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
66,"VTP Realty properties Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
67,"VTP Realty properties Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
68,"VTP Realty properties Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
69,"VTP Realty properties Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
70,"VTP Realty flats Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
71,"VTP Realty flats Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
72,"VTP Realty flats Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
73,"VTP Realty flats Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
74,"VTP Realty flats Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
75,"VTP Realty flats Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
76,"VTP Realty flats Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
77,"VTP Realty flats Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
78,"VTP Realty flats Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
79,"VTP Realty flats Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
80,"VTP Realty flats Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
81,"VTP Realty flats Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
82,"VTP Realty flats Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
83,"VTP Realty flats Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
84,"VTP Realty flats Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
85,"VTP Realty flats Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
86,"VTP Realty flats Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
87,"VTP Realty flats Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
88,"VTP Realty flats Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
89,"VTP Realty flats Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
90,"VTP Realty flats Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
91,"VTP Realty flats Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
